Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,cell_line,tissue
SRR25662239,RNA-Seq,100,1330042052,PRJNA1006311,SAMN37017703,444204702,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX21388038,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714547,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714547,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 75' post-infection",,
SRR25662240,RNA-Seq,100,926250507,PRJNA1006311,SAMN37017704,311266411,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX21388037,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714546,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:14:00Z,1,GSM7714546,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 75' post-infection",,
SRR25662241,RNA-Seq,100,1089541508,PRJNA1006311,SAMN37017705,365292817,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX21388036,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714545,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714545,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 75' post-infection",,
SRR25662242,RNA-Seq,100,1143963381,PRJNA1006311,SAMN37017706,390573174,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX21388035,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714544,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:16:00Z,1,GSM7714544,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 60' post-infection",,
SRR25662243,RNA-Seq,100,1050133113,PRJNA1006311,SAMN37017707,360366851,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX21388034,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714543,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714543,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 60' post-infection",,
SRR25662244,RNA-Seq,100,1038798777,PRJNA1006311,SAMN37017708,356572175,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX21388033,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714542,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:16:00Z,1,GSM7714542,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 60' post-infection",,
SRR25662245,RNA-Seq,97,591396007,PRJNA1006311,SAMN37017709,208734664,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX21388032,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714541,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714541,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 45' post-infection",,
SRR25662246,RNA-Seq,100,1093478218,PRJNA1006311,SAMN37017710,367274213,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX21388031,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714540,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:14:00Z,1,GSM7714540,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 45' post-infection",,
SRR25662247,RNA-Seq,100,1073048852,PRJNA1006311,SAMN37017711,359314695,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX21388030,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714539,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714539,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 45' post-infection",,
SRR25662248,RNA-Seq,100,1106325433,PRJNA1006311,SAMN37017712,379458245,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX21388029,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714538,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714538,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 30' post-infection",,
